,episode,error,iteration,time,reward
0,1,0,0,-0.094,0
1,1,-3.22E-09,0,-0.092,0
2,1,-6.43E-09,0,-0.09,0
3,1,-9.63E-09,0,-0.088,0
4,1,-1.28E-08,0,-0.086,0
5,1,-1.60E-08,0,-0.084,0
6,1,-1.91E-08,0,-0.082,0
7,1,-2.22E-08,0,-0.08,0
8,1,-2.53E-08,0,-0.078,0
9,1,-2.84E-08,0,-0.076,0
10,1,-3.15E-08,0,-0.074,0
11,1,-3.46E-08,0,-0.072,0
12,1,-3.76E-08,0,-0.07,0
13,1,-4.06E-08,0,-0.068,0
14,1,-4.36E-08,0,-0.066,0
15,1,-4.65E-08,0,-0.064,0
16,1,-4.94E-08,0,-0.062,0
17,1,-5.23E-08,0,-0.06,0
18,1,-5.52E-08,0,-0.058,0
19,1,-5.80E-08,0,-0.056,0
20,1,-6.09E-08,0,-0.054,0
21,1,-6.36E-08,0,-0.052,0
22,1,-6.64E-08,0,-0.05,0
23,1,-6.91E-08,0,-0.048,0
24,1,-7.19E-08,0,-0.046,0
25,1,-7.46E-08,0,-0.044,0
26,1,-7.72E-08,0,-0.042,0
27,1,-7.99E-08,0,-0.04,0
28,1,-8.25E-08,0,-0.038,0
29,1,-8.51E-08,0,-0.036,0
30,1,-8.77E-08,0,-0.034,0
31,1,-9.02E-08,0,-0.032,0
32,1,-9.27E-08,0,-0.03,0
33,1,-9.52E-08,0,-0.028,0
34,1,-9.77E-08,0,-0.026,0
35,1,-1.00E-07,0,-0.024,0
36,1,-1.03E-07,0,-0.022,0
37,1,-1.05E-07,0,-0.02,0
38,1,-1.07E-07,0,-0.018,0
39,1,-1.10E-07,0,-0.016,0
40,1,-1.12E-07,0,-0.014,0
41,1,-1.14E-07,0,-0.012,0
42,1,-1.16E-07,0,-0.01,0
43,1,-1.19E-07,0,-0.008,0
44,1,-1.21E-07,0,-0.006,0
45,1,-1.22E-07,0,-0.004,0
46,1,-1.09E-07,0,-0.002,0
47,1,-6.98E-08,0,0,0
48,1,4.87E-09,0,0.002,0
49,1,2.72E-07,0,0.004,0
50,1,1.28E-06,0,0.006,0
51,1,3.11E-06,0,0.008,0
52,1,5.44E-06,0,0.01,0
53,1,7.90E-06,0,0.012,0
54,1,1.02E-05,0,0.014,0
55,1,1.21E-05,0,0.016,0
56,1,1.35E-05,0,0.018,0
57,1,1.45E-05,0,0.02,0
58,1,1.52E-05,0,0.022,0
59,1,1.56E-05,0,0.024,0
60,1,1.59E-05,0,0.026,0
61,1,1.62E-05,0,0.028,0
62,1,1.64E-05,0,0.03,0
63,1,1.65E-05,0,0.032,0
64,1,1.67E-05,0,0.034,0
65,1,1.68E-05,0,0.036,0
66,1,1.69E-05,0,0.038,0
67,1,1.69E-05,0,0.04,0
68,1,1.68E-05,0,0.042,0
69,1,1.66E-05,0,0.044,0
70,1,1.63E-05,0,0.046,0
71,1,1.60E-05,0,0.048,0
72,1,1.57E-05,0,0.05,0
73,1,1.53E-05,0,0.052,0
74,1,1.49E-05,0,0.054,0
75,1,1.46E-05,0,0.056,0
76,1,1.42E-05,0,0.058,0
77,1,1.38E-05,0,0.06,0
78,1,1.35E-05,0,0.062,0
79,1,1.32E-05,0,0.064,0
80,1,1.29E-05,0,0.066,0
81,1,1.26E-05,0,0.068,0
82,1,1.23E-05,0,0.07,0
83,1,1.21E-05,0,0.072,0
84,1,1.18E-05,0,0.074,0
85,1,1.16E-05,0,0.076,0
86,1,1.13E-05,0,0.078,0
87,1,1.11E-05,0,0.08,0
88,1,1.08E-05,0,0.082,0
89,1,1.06E-05,0,0.084,0
90,1,1.03E-05,0,0.086,0
91,1,1.00E-05,0,0.088,0
92,1,9.71E-06,0,0.09,0
93,1,9.41E-06,0,0.092,0
94,1,9.10E-06,0,0.094,0
95,1,8.78E-06,0,0.096,0
96,1,8.46E-06,0,0.098,0
97,1,8.15E-06,0,0.1,0
98,1,7.85E-06,0,0.102,0
99,1,7.56E-06,0,0.104,0
100,1,7.29E-06,0,0.106,0
101,1,7.03E-06,0,0.108,0
102,1,6.79E-06,0,0.11,0
103,1,6.56E-06,0,0.112,0
104,1,6.36E-06,0,0.114,0
105,1,6.17E-06,0,0.116,0
106,1,5.99E-06,0,0.118,0
107,1,5.83E-06,0,0.12,0
108,1,5.67E-06,0,0.122,0
109,1,5.52E-06,0,0.124,0
110,1,5.38E-06,0,0.126,0
111,1,5.23E-06,0,0.128,0
112,1,5.08E-06,0,0.13,0
113,1,4.93E-06,0,0.132,0
114,1,4.78E-06,0,0.134,0
115,1,4.62E-06,0,0.136,0
116,1,4.46E-06,0,0.138,0
117,1,4.30E-06,0,0.14,0
118,1,4.14E-06,0,0.142,0
119,1,3.98E-06,0,0.144,0
120,1,3.82E-06,0,0.146,0
121,1,3.66E-06,0,0.148,0
122,1,3.51E-06,0,0.15,0
123,1,3.37E-06,0,0.152,0
124,1,3.24E-06,0,0.154,0
125,1,3.11E-06,0,0.156,0
126,1,3.00E-06,0,0.158,0
127,1,2.89E-06,0,0.16,0
128,1,2.80E-06,0,0.162,0
129,1,2.71E-06,0,0.164,0
130,1,2.63E-06,0,0.166,0
131,1,2.55E-06,0,0.168,0
132,1,2.48E-06,0,0.17,0
133,1,2.41E-06,0,0.172,0
134,1,2.34E-06,0,0.174,0
135,1,2.27E-06,0,0.176,0
136,1,2.21E-06,0,0.178,0
137,1,2.14E-06,0,0.18,0
138,1,2.07E-06,0,0.182,0
139,1,1.99E-06,0,0.184,0
140,1,1.92E-06,0,0.186,0
141,1,1.84E-06,0,0.188,0
142,1,1.77E-06,0,0.19,0
143,1,1.69E-06,0,0.192,0
144,1,1.62E-06,0,0.194,0
145,1,1.55E-06,0,0.196,0
146,1,1.48E-06,0,0.198,0
147,1,1.42E-06,0,0.2,0
148,1,1.36E-06,0,0.202,0
149,1,1.30E-06,0,0.204,0
150,1,1.25E-06,0,0.206,0
0,1,0,1,-0.094,0
1,1,-1.76E-09,1,-0.092,0
2,1,-3.52E-09,1,-0.09,0
3,1,-5.27E-09,1,-0.088,0
4,1,-7.01E-09,1,-0.086,0
5,1,-8.74E-09,1,-0.084,0
6,1,-1.05E-08,1,-0.082,0
7,1,-1.22E-08,1,-0.08,0
8,1,-1.39E-08,1,-0.078,0
9,1,-1.56E-08,1,-0.076,0
10,1,-1.73E-08,1,-0.074,0
11,1,-1.90E-08,1,-0.072,0
12,1,-2.06E-08,1,-0.07,0
13,1,-2.23E-08,1,-0.068,0
14,1,-2.39E-08,1,-0.066,0
15,1,-2.55E-08,1,-0.064,0
16,1,-2.71E-08,1,-0.062,0
17,1,-2.87E-08,1,-0.06,0
18,1,-3.03E-08,1,-0.058,0
19,1,-3.18E-08,1,-0.056,0
20,1,-3.34E-08,1,-0.054,0
21,1,-3.49E-08,1,-0.052,0
22,1,-3.64E-08,1,-0.05,0
23,1,-3.79E-08,1,-0.048,0
24,1,-3.94E-08,1,-0.046,0
25,1,-4.09E-08,1,-0.044,0
26,1,-4.23E-08,1,-0.042,0
27,1,-4.38E-08,1,-0.04,0
28,1,-4.52E-08,1,-0.038,0
29,1,-4.67E-08,1,-0.036,0
30,1,-4.81E-08,1,-0.034,0
31,1,-4.95E-08,1,-0.032,0
32,1,-5.09E-08,1,-0.03,0
33,1,-5.22E-08,1,-0.028,0
34,1,-5.36E-08,1,-0.026,0
35,1,-5.49E-08,1,-0.024,0
36,1,-5.63E-08,1,-0.022,0
37,1,-5.76E-08,1,-0.02,0
38,1,-5.89E-08,1,-0.018,0
39,1,-6.01E-08,1,-0.016,0
40,1,-6.14E-08,1,-0.014,0
41,1,-6.26E-08,1,-0.012,0
42,1,-6.39E-08,1,-0.01,0
43,1,-6.51E-08,1,-0.008,0
44,1,-6.63E-08,1,-0.006,0
45,1,-6.60E-08,1,-0.004,0
46,1,-5.26E-08,1,-0.002,0
47,1,-1.23E-08,1,0,0
48,1,6.33E-08,1,0.002,0
49,1,3.31E-07,1,0.004,0
50,1,1.34E-06,1,0.006,0
51,1,3.17E-06,1,0.008,0
52,1,5.50E-06,1,0.01,0
53,1,7.96E-06,1,0.012,0
54,1,1.02E-05,1,0.014,0
55,1,1.21E-05,1,0.016,0
56,1,1.36E-05,1,0.018,0
57,1,1.46E-05,1,0.02,0
58,1,1.47E-05,1,0.022,0
59,1,1.40E-05,1,0.024,0
60,1,1.27E-05,1,0.026,0
61,1,1.12E-05,1,0.028,0
62,1,9.90E-06,1,0.03,0
63,1,8.81E-06,1,0.032,0
64,1,8.02E-06,1,0.034,0
65,1,7.51E-06,1,0.036,0
66,1,7.20E-06,1,0.038,0
67,1,6.98E-06,1,0.04,0
68,1,6.79E-06,1,0.042,0
69,1,6.58E-06,1,0.044,0
70,1,6.32E-06,1,0.046,0
71,1,6.01E-06,1,0.048,0
72,1,5.68E-06,1,0.05,0
73,1,5.35E-06,1,0.052,0
74,1,5.04E-06,1,0.054,0
75,1,4.77E-06,1,0.056,0
76,1,4.55E-06,1,0.058,0
77,1,4.39E-06,1,0.06,0
78,1,4.29E-06,1,0.062,0
79,1,4.25E-06,1,0.064,0
80,1,4.24E-06,1,0.066,0
81,1,4.26E-06,1,0.068,0
82,1,4.29E-06,1,0.07,0
83,1,4.34E-06,1,0.072,0
84,1,4.38E-06,1,0.074,0
85,1,4.40E-06,1,0.076,0
86,1,4.41E-06,1,0.078,0
87,1,4.39E-06,1,0.08,0
88,1,4.34E-06,1,0.082,0
89,1,4.27E-06,1,0.084,0
90,1,4.16E-06,1,0.086,0
91,1,4.03E-06,1,0.088,0
92,1,3.88E-06,1,0.09,0
93,1,3.71E-06,1,0.092,0
94,1,3.54E-06,1,0.094,0
95,1,3.36E-06,1,0.096,0
96,1,3.18E-06,1,0.098,0
97,1,3.01E-06,1,0.1,0
98,1,2.86E-06,1,0.102,0
99,1,2.73E-06,1,0.104,0
100,1,2.62E-06,1,0.106,0
101,1,2.53E-06,1,0.108,0
102,1,2.46E-06,1,0.11,0
103,1,2.42E-06,1,0.112,0
104,1,2.39E-06,1,0.114,0
105,1,2.37E-06,1,0.116,0
106,1,2.36E-06,1,0.118,0
107,1,2.35E-06,1,0.12,0
108,1,2.34E-06,1,0.122,0
109,1,2.33E-06,1,0.124,0
110,1,2.31E-06,1,0.126,0
111,1,2.27E-06,1,0.128,0
112,1,2.23E-06,1,0.13,0
113,1,2.16E-06,1,0.132,0
114,1,2.09E-06,1,0.134,0
115,1,2.01E-06,1,0.136,0
116,1,1.91E-06,1,0.138,0
117,1,1.81E-06,1,0.14,0
118,1,1.71E-06,1,0.142,0
119,1,1.61E-06,1,0.144,0
120,1,1.51E-06,1,0.146,0
121,1,1.42E-06,1,0.148,0
122,1,1.34E-06,1,0.15,0
123,1,1.27E-06,1,0.152,0
124,1,1.22E-06,1,0.154,0
125,1,1.17E-06,1,0.156,0
126,1,1.13E-06,1,0.158,0
127,1,1.11E-06,1,0.16,0
128,1,1.09E-06,1,0.162,0
129,1,1.08E-06,1,0.164,0
130,1,1.08E-06,1,0.166,0
131,1,1.07E-06,1,0.168,0
132,1,1.06E-06,1,0.17,0
133,1,1.05E-06,1,0.172,0
134,1,1.04E-06,1,0.174,0
135,1,1.02E-06,1,0.176,0
136,1,9.94E-07,1,0.178,0
137,1,9.61E-07,1,0.18,0
138,1,9.22E-07,1,0.182,0
139,1,8.79E-07,1,0.184,0
140,1,8.31E-07,1,0.186,0
141,1,7.81E-07,1,0.188,0
142,1,7.31E-07,1,0.19,0
143,1,6.82E-07,1,0.192,0
144,1,6.36E-07,1,0.194,0
145,1,5.94E-07,1,0.196,0
146,1,5.57E-07,1,0.198,0
147,1,5.25E-07,1,0.2,0
148,1,5.00E-07,1,0.202,0
149,1,4.80E-07,1,0.204,0
150,1,4.66E-07,1,0.206,0
0,1,0,2,-0.094,0
1,1,-2.07E-09,2,-0.092,0
2,1,-4.12E-09,2,-0.09,0
3,1,-6.17E-09,2,-0.088,0
4,1,-8.21E-09,2,-0.086,0
5,1,-1.02E-08,2,-0.084,0
6,1,-1.23E-08,2,-0.082,0
7,1,-1.43E-08,2,-0.08,0
8,1,-1.63E-08,2,-0.078,0
9,1,-1.82E-08,2,-0.076,0
10,1,-2.02E-08,2,-0.074,0
11,1,-2.22E-08,2,-0.072,0
12,1,-2.41E-08,2,-0.07,0
13,1,-2.60E-08,2,-0.068,0
14,1,-2.80E-08,2,-0.066,0
15,1,-2.98E-08,2,-0.064,0
16,1,-3.17E-08,2,-0.062,0
17,1,-3.36E-08,2,-0.06,0
18,1,-3.54E-08,2,-0.058,0
19,1,-3.72E-08,2,-0.056,0
20,1,-3.90E-08,2,-0.054,0
21,1,-4.08E-08,2,-0.052,0
22,1,-4.26E-08,2,-0.05,0
23,1,-4.44E-08,2,-0.048,0
24,1,-4.61E-08,2,-0.046,0
25,1,-4.78E-08,2,-0.044,0
26,1,-4.96E-08,2,-0.042,0
27,1,-5.13E-08,2,-0.04,0
28,1,-5.29E-08,2,-0.038,0
29,1,-5.46E-08,2,-0.036,0
30,1,-5.63E-08,2,-0.034,0
31,1,-5.79E-08,2,-0.032,0
32,1,-5.95E-08,2,-0.03,0
33,1,-6.11E-08,2,-0.028,0
34,1,-6.27E-08,2,-0.026,0
35,1,-6.43E-08,2,-0.024,0
36,1,-6.58E-08,2,-0.022,0
37,1,-6.74E-08,2,-0.02,0
38,1,-6.89E-08,2,-0.018,0
39,1,-7.04E-08,2,-0.016,0
40,1,-7.19E-08,2,-0.014,0
41,1,-7.33E-08,2,-0.012,0
42,1,-7.47E-08,2,-0.01,0
43,1,-7.62E-08,2,-0.008,0
44,1,-7.76E-08,2,-0.006,0
45,1,-7.75E-08,2,-0.004,0
46,1,-6.43E-08,2,-0.002,0
47,1,-2.42E-08,2,0,0
48,1,5.12E-08,2,0.002,0
49,1,3.19E-07,2,0.004,0
50,1,1.11E-06,2,0.006,0
51,1,1.66E-06,2,0.008,0
52,1,1.88E-06,2,0.01,0
53,1,1.95E-06,2,0.012,0
54,1,1.93E-06,2,0.014,0
55,1,1.94E-06,2,0.016,0
56,1,2.02E-06,2,0.018,0
57,1,2.21E-06,2,0.02,0
58,1,2.51E-06,2,0.022,0
59,1,2.89E-06,2,0.024,0
60,1,3.31E-06,2,0.026,0
61,1,3.74E-06,2,0.028,0
62,1,4.16E-06,2,0.03,0
63,1,4.54E-06,2,0.032,0
64,1,4.87E-06,2,0.034,0
65,1,5.16E-06,2,0.036,0
66,1,5.41E-06,2,0.038,0
67,1,5.62E-06,2,0.04,0
68,1,5.79E-06,2,0.042,0
69,1,5.94E-06,2,0.044,0
70,1,6.06E-06,2,0.046,0
71,1,6.16E-06,2,0.048,0
72,1,6.23E-06,2,0.05,0
73,1,6.29E-06,2,0.052,0
74,1,6.33E-06,2,0.054,0
75,1,6.34E-06,2,0.056,0
76,1,6.34E-06,2,0.058,0
77,1,6.32E-06,2,0.06,0
78,1,6.28E-06,2,0.062,0
79,1,6.22E-06,2,0.064,0
80,1,6.16E-06,2,0.066,0
81,1,6.08E-06,2,0.068,0
82,1,5.99E-06,2,0.07,0
83,1,5.89E-06,2,0.072,0
84,1,5.79E-06,2,0.074,0
85,1,5.68E-06,2,0.076,0
86,1,5.57E-06,2,0.078,0
87,1,5.45E-06,2,0.08,0
88,1,5.33E-06,2,0.082,0
89,1,5.21E-06,2,0.084,0
90,1,5.09E-06,2,0.086,0
91,1,4.97E-06,2,0.088,0
92,1,4.85E-06,2,0.09,0
93,1,4.74E-06,2,0.092,0
94,1,4.62E-06,2,0.094,0
95,1,4.50E-06,2,0.096,0
96,1,4.39E-06,2,0.098,0
97,1,4.27E-06,2,0.1,0
98,1,4.16E-06,2,0.102,0
99,1,4.04E-06,2,0.104,0
100,1,3.93E-06,2,0.106,0
101,1,3.82E-06,2,0.108,0
102,1,3.71E-06,2,0.11,0
103,1,3.60E-06,2,0.112,0
104,1,3.49E-06,2,0.114,0
105,1,3.38E-06,2,0.116,0
106,1,3.28E-06,2,0.118,0
107,1,3.17E-06,2,0.12,0
108,1,3.07E-06,2,0.122,0
109,1,2.97E-06,2,0.124,0
110,1,2.88E-06,2,0.126,0
111,1,2.78E-06,2,0.128,0
112,1,2.69E-06,2,0.13,0
113,1,2.61E-06,2,0.132,0
114,1,2.52E-06,2,0.134,0
115,1,2.44E-06,2,0.136,0
116,1,2.36E-06,2,0.138,0
117,1,2.28E-06,2,0.14,0
118,1,2.21E-06,2,0.142,0
119,1,2.14E-06,2,0.144,0
120,1,2.07E-06,2,0.146,0
121,1,2.00E-06,2,0.148,0
122,1,1.94E-06,2,0.15,0
123,1,1.87E-06,2,0.152,0
124,1,1.81E-06,2,0.154,0
125,1,1.75E-06,2,0.156,0
126,1,1.69E-06,2,0.158,0
127,1,1.63E-06,2,0.16,0
128,1,1.57E-06,2,0.162,0
129,1,1.52E-06,2,0.164,0
130,1,1.47E-06,2,0.166,0
131,1,1.41E-06,2,0.168,0
132,1,1.36E-06,2,0.17,0
133,1,1.31E-06,2,0.172,0
134,1,1.27E-06,2,0.174,0
135,1,1.22E-06,2,0.176,0
136,1,1.18E-06,2,0.178,0
137,1,1.13E-06,2,0.18,0
138,1,1.09E-06,2,0.182,0
139,1,1.05E-06,2,0.184,0
140,1,1.02E-06,2,0.186,0
141,1,9.81E-07,2,0.188,0
142,1,9.47E-07,2,0.19,0
143,1,9.13E-07,2,0.192,0
144,1,8.81E-07,2,0.194,0
145,1,8.50E-07,2,0.196,0
146,1,8.20E-07,2,0.198,0
147,1,7.91E-07,2,0.2,0
148,1,7.62E-07,2,0.202,0
149,1,7.35E-07,2,0.204,0
150,1,7.08E-07,2,0.206,0
0,1,0,3,-0.094,0
1,1,-1.52E-09,3,-0.092,0
2,1,-3.02E-09,3,-0.09,0
3,1,-4.53E-09,3,-0.088,0
4,1,-6.02E-09,3,-0.086,0
5,1,-7.51E-09,3,-0.084,0
6,1,-8.99E-09,3,-0.082,0
7,1,-1.05E-08,3,-0.08,0
8,1,-1.19E-08,3,-0.078,0
9,1,-1.34E-08,3,-0.076,0
10,1,-1.48E-08,3,-0.074,0
11,1,-1.63E-08,3,-0.072,0
12,1,-1.77E-08,3,-0.07,0
13,1,-1.91E-08,3,-0.068,0
14,1,-2.05E-08,3,-0.066,0
15,1,-2.19E-08,3,-0.064,0
16,1,-2.33E-08,3,-0.062,0
17,1,-2.47E-08,3,-0.06,0
18,1,-2.60E-08,3,-0.058,0
19,1,-2.73E-08,3,-0.056,0
20,1,-2.87E-08,3,-0.054,0
21,1,-3.00E-08,3,-0.052,0
22,1,-3.13E-08,3,-0.05,0
23,1,-3.26E-08,3,-0.048,0
24,1,-3.39E-08,3,-0.046,0
25,1,-3.51E-08,3,-0.044,0
26,1,-3.64E-08,3,-0.042,0
27,1,-3.76E-08,3,-0.04,0
28,1,-3.89E-08,3,-0.038,0
29,1,-4.01E-08,3,-0.036,0
30,1,-4.13E-08,3,-0.034,0
31,1,-4.25E-08,3,-0.032,0
32,1,-4.37E-08,3,-0.03,0
33,1,-4.49E-08,3,-0.028,0
34,1,-4.60E-08,3,-0.026,0
35,1,-4.72E-08,3,-0.024,0
36,1,-4.83E-08,3,-0.022,0
37,1,-4.95E-08,3,-0.02,0
38,1,-5.06E-08,3,-0.018,0
39,1,-5.17E-08,3,-0.016,0
40,1,-5.28E-08,3,-0.014,0
41,1,-5.38E-08,3,-0.012,0
42,1,-5.49E-08,3,-0.01,0
43,1,-5.59E-08,3,-0.008,0
44,1,-5.69E-08,3,-0.006,0
45,1,-5.66E-08,3,-0.004,0
46,1,-4.30E-08,3,-0.002,0
47,1,-2.50E-09,3,0,0
48,1,7.33E-08,3,0.002,0
49,1,3.42E-07,3,0.004,0
50,1,1.35E-06,3,0.006,0
51,1,3.18E-06,3,0.008,0
52,1,5.51E-06,3,0.01,0
53,1,7.98E-06,3,0.012,0
54,1,1.02E-05,3,0.014,0
55,1,1.21E-05,3,0.016,0
56,1,1.36E-05,3,0.018,0
57,1,1.45E-05,3,0.02,0
58,1,1.40E-05,3,0.022,0
59,1,1.15E-05,3,0.024,0
60,1,8.33E-06,3,0.026,0
61,1,5.08E-06,3,0.028,0
62,1,2.40E-06,3,0.03,0
63,1,5.59E-07,3,0.032,0
64,1,-4.08E-07,3,0.034,0
65,1,-6.69E-07,3,0.036,0
66,1,-4.69E-07,3,0.038,0
67,1,-5.28E-08,3,0.04,0
68,1,3.86E-07,3,0.042,0
69,1,7.27E-07,3,0.044,0
70,1,9.25E-07,3,0.046,0
71,1,9.89E-07,3,0.048,0
72,1,9.63E-07,3,0.05,0
73,1,9.02E-07,3,0.052,0
74,1,8.56E-07,3,0.054,0
75,1,8.62E-07,3,0.056,0
76,1,9.39E-07,3,0.058,0
77,1,1.09E-06,3,0.06,0
78,1,1.30E-06,3,0.062,0
79,1,1.56E-06,3,0.064,0
80,1,1.84E-06,3,0.066,0
81,1,2.12E-06,3,0.068,0
82,1,2.39E-06,3,0.07,0
83,1,2.63E-06,3,0.072,0
84,1,2.82E-06,3,0.074,0
85,1,2.96E-06,3,0.076,0
86,1,3.05E-06,3,0.078,0
87,1,3.09E-06,3,0.08,0
88,1,3.08E-06,3,0.082,0
89,1,3.01E-06,3,0.084,0
90,1,2.91E-06,3,0.086,0
91,1,2.77E-06,3,0.088,0
92,1,2.62E-06,3,0.09,0
93,1,2.45E-06,3,0.092,0
94,1,2.27E-06,3,0.094,0
95,1,2.11E-06,3,0.096,0
96,1,1.96E-06,3,0.098,0
97,1,1.84E-06,3,0.1,0
98,1,1.74E-06,3,0.102,0
99,1,1.67E-06,3,0.104,0
100,1,1.63E-06,3,0.106,0
101,1,1.62E-06,3,0.108,0
102,1,1.64E-06,3,0.11,0
